slug,state_name,state_code,state_slug,avg_premium,uninsured_rate,top_insurer,medicare_enrollment,medicaid_expansion,exchange_name,title,subtitle,excerpt,metaTitle,metaDescription,metaKeywords,status,isPublished,showAds
health-insurance/california,California,CA,california,$450/month,7%,Kaiser Permanente,2.5M,true,Covered California,Health Insurance in California (2024 Guide),Find affordable health coverage in CA,California operates Covered California exchange. Average individual premiums are $450/month.,Health Insurance California | Covered California Guide (2024),Find affordable health insurance in California. Covered California exchange. Average $450/month. Subsidies available. Compare plans today.,"health insurance california,covered california,ca health insurance,obamacare california,medical california",PUBLISHED,true,true
health-insurance/california/los-angeles,California,CA,california,$480/month,8%,Kaiser Permanente,2.5M,true,Covered California,Health Insurance in Los Angeles CA (2024),LA health insurance options,Los Angeles has multiple provider options. Average $480/month.,Health Insurance Los Angeles CA | Compare LA Plans,Find health insurance in Los Angeles. Multiple provider networks. Average $480/month. Compare Covered California plans.,"health insurance los angeles,LA health insurance,los angeles medical insurance",PUBLISHED,true,true
health-insurance/california/san-francisco,California,CA,california,$520/month,5%,Blue Shield of CA,2.5M,true,Covered California,Health Insurance in San Francisco CA (2024),SF health insurance plans,San Francisco has higher premiums. Average $520/month.,Health Insurance San Francisco CA | Compare SF Plans,Find health insurance in San Francisco. Higher premiums but more options. Average $520/month. Compare plans.,"health insurance san francisco,SF health insurance,san francisco medical insurance",PUBLISHED,true,true
health-insurance/texas,Texas,TX,texas,$420/month,18%,Blue Cross Blue Shield,1.8M,false,HealthCare.gov,Health Insurance in Texas (2024 Guide),Health coverage options in Texas,Texas has not expanded Medicaid. Average premiums $420/month.,Health Insurance Texas | HealthCare.gov Guide (2024),Find health insurance in Texas. HealthCare.gov exchange. Average $420/month. Note: No Medicaid expansion.,"health insurance texas,texas health insurance,healthcare.gov texas,obamacare texas",PUBLISHED,true,true
health-insurance/texas/houston,Texas,TX,texas,$435/month,19%,Blue Cross Blue Shield,1.8M,false,HealthCare.gov,Health Insurance in Houston TX (2024),Houston health insurance plans,Houston has multiple hospital networks. Average $435/month.,Health Insurance Houston TX | Compare Houston Plans,Find health insurance in Houston Texas. Multiple hospital networks. Average $435/month. Compare plans today.,"health insurance houston,houston health insurance,texas medical insurance",PUBLISHED,true,true
health-insurance/texas/dallas,Texas,TX,texas,$425/month,17%,Blue Cross Blue Shield,1.8M,false,HealthCare.gov,Health Insurance in Dallas TX (2024),Dallas health coverage options,Dallas has competitive insurance market. Average $425/month.,Health Insurance Dallas TX | Compare Dallas Plans,Find health insurance in Dallas Texas. Competitive market. Average $425/month. Compare plan options.,"health insurance dallas,dallas health insurance,dallas medical insurance",PUBLISHED,true,true
health-insurance/florida,Florida,FL,florida,$480/month,13%,Florida Blue,2.1M,false,HealthCare.gov,Health Insurance in Florida (2024 Guide),Health coverage in Florida,Florida has high uninsured rate. Average premiums $480/month.,Health Insurance Florida | HealthCare.gov Guide (2024),Find health insurance in Florida. HealthCare.gov exchange. Average $480/month. High uninsured rate state.,"health insurance florida,florida health insurance,healthcare.gov florida,florida blue",PUBLISHED,true,true
health-insurance/florida/miami,Florida,FL,florida,$510/month,15%,Florida Blue,2.1M,false,HealthCare.gov,Health Insurance in Miami FL (2024),Miami health insurance options,Miami has diverse provider networks. Average $510/month.,Health Insurance Miami FL | Compare Miami Plans,Find health insurance in Miami Florida. Diverse provider options. Average $510/month. Compare plans today.,"health insurance miami,miami health insurance,miami medical insurance",PUBLISHED,true,true
health-insurance/new-york,New York,NY,new-york,$520/month,5%,Empire Blue Cross,1.5M,true,NY State of Health,Health Insurance in New York (2024 Guide),NY health coverage options,New York has expanded Medicaid. Average premiums $520/month.,Health Insurance New York | NY State of Health Guide,Find health insurance in New York. NY State of Health exchange. Average $520/month. Medicaid expansion state.,"health insurance new york,new york health insurance,ny state of health,empire blue cross",PUBLISHED,true,true
health-insurance/new-york/nyc,New York,NY,new-york,$550/month,6%,Empire Blue Cross,1.5M,true,NY State of Health,Health Insurance in New York City (2024),NYC health insurance plans,NYC has many provider options. Average $550/month.,Health Insurance New York City | Compare NYC Plans,Find health insurance in NYC. Many provider networks available. Average $550/month. Compare plan options.,"health insurance nyc,nyc health insurance,new york city medical insurance",PUBLISHED,true,true
