slug,state_name,state_code,state_slug,city_name,city_slug,title,subtitle,excerpt,metaTitle,metaDescription,metaKeywords,avg_premium,avg_home_value,avg_rebuild_cost,median_home_age,top_insurer,top_insurer_market_share,last_updated,disaster_risk,primary_disaster_risk,flood_zone,hurricane_risk,earthquake_risk,wildfire_risk_level,tornado_risk,mudslide_risk,avg_claim,status,isPublished,showAds
home-insurance/california,California,CA,california,,,Home Insurance in California (2024 Guide),Protect your California home with the right coverage,California homeowners face unique risks including wildfires and earthquakes. Average premiums are $1200/year.,Home Insurance California | Compare Homeowners Rates (2024),Find the best home insurance in California. Protect against wildfires earthquakes & more. Average $1200/year. Compare quotes and save today.,"home insurance california,homeowners insurance ca,california home insurance rates,wildfire insurance california,earthquake insurance california",$1200/year,$750000,$350000,45 years,State Farm,18.5%,2024-01-15,High,wildfire,false,false,true,High,false,true,$15000,PUBLISHED,true,true
home-insurance/california/los-angeles,California,CA,california,Los Angeles,los-angeles,Home Insurance in Los Angeles CA (2024),LA home insurance with wildfire protection,Los Angeles homeowners pay higher premiums due to fire risk. Average $1450/year.,Home Insurance Los Angeles CA | Compare LA Rates,Find home insurance in Los Angeles. Wildfire protection essential. LA average $1450/year. Compare quotes today.,"home insurance los angeles,homeowners insurance LA,los angeles home insurance",$1450/year,$850000,$425000,55 years,State Farm,18.5%,2024-01-15,Very High,wildfire,false,false,true,Very High,false,true,$18500,PUBLISHED,true,true
home-insurance/california/san-francisco,California,CA,california,San Francisco,san-francisco,Home Insurance in San Francisco CA (2024),SF home insurance with earthquake coverage,San Francisco homeowners need earthquake coverage. Average $1600/year.,Home Insurance San Francisco CA | Compare SF Rates,Find home insurance in San Francisco. Earthquake coverage essential. SF average $1600/year. Compare quotes.,"home insurance san francisco,homeowners insurance SF,san francisco home insurance",$1600/year,$1200000,$600000,75 years,State Farm,18.5%,2024-01-15,Very High,earthquake,false,false,true,High,true,true,$22000,PUBLISHED,true,true
home-insurance/california/san-diego,California,CA,california,San Diego,san-diego,Home Insurance in San Diego CA (2024),San Diego home insurance,San Diego has moderate home insurance rates. Average $1100/year.,Home Insurance San Diego CA | Compare San Diego Rates,Find home insurance in San Diego. Average $1100/year. Compare quotes from top insurers today.,"home insurance san diego,homeowners insurance san diego,san diego home insurance",$1100/year,$720000,$360000,35 years,State Farm,18.5%,2024-01-15,Moderate,wildfire,false,false,true,Low,false,true,$12500,PUBLISHED,true,true
home-insurance/florida,Florida,FL,florida,,,Home Insurance in Florida (2024 Guide),Hurricane and flood protection for Florida homes,Florida has some of the highest home insurance rates due to hurricane risk. Average $2400/year.,Home Insurance Florida | Compare Homeowners Rates (2024),Find home insurance in Florida. Hurricane and flood coverage essential. Average $2400/year. Compare quotes today.,"home insurance florida,homeowners insurance fl,florida home insurance,hurricane insurance florida",$2400/year,$380000,$225000,32 years,Citizens Insurance,22.1%,2024-01-15,Very High,hurricane,true,true,false,High,false,false,$18000,PUBLISHED,true,true
home-insurance/florida/miami,Florida,FL,florida,Miami,miami,Home Insurance in Miami FL (2024),Miami home insurance with hurricane protection,Miami homeowners pay very high premiums due to hurricane and flood risk. Average $3200/year.,Home Insurance Miami FL | Hurricane Coverage (2024),Find home insurance in Miami Florida. Hurricane and flood coverage essential. Average $3200/year. Compare quotes today.,"home insurance miami,homeowners insurance miami,miami home insurance",$3200/year,$520000,$310000,45 years,Citizens Insurance,22.1%,2024-01-15,Very High,hurricane,true,true,false,Very High,false,true,$25000,PUBLISHED,true,true
home-insurance/florida/tampa,Florida,FL,florida,Tampa,tampa,Home Insurance in Tampa FL (2024),Tampa home insurance with flood coverage,Tampa homeowners face significant hurricane risk. Average $2800/year.,Home Insurance Tampa FL | Compare Tampa Rates,Find home insurance in Tampa Florida. Hurricane coverage essential. Average $2800/year. Compare quotes.,"home insurance tampa,homeowners insurance tampa,tampa home insurance",$2800/year,$350000,$210000,38 years,Citizens Insurance,22.1%,2024-01-15,Very High,hurricane,true,true,false,Very High,false,false,$19500,PUBLISHED,true,true
home-insurance/texas,Texas,TX,texas,,,Home Insurance in Texas (2024 Guide),Protect your Texas home from severe weather,Texas homeowners face hail and tornado risks. Average $1800/year.,Home Insurance Texas | Compare Homeowners Rates (2024),Find home insurance in Texas. Protect against severe weather & hail. Average $1800/year. Compare quotes today.,"home insurance texas,homeowners insurance tx,texas home insurance",$1800/year,$320000,$195000,28 years,USAA,14.2%,2024-01-15,High,hail,false,false,false,false,true,true,$14500,PUBLISHED,true,true
home-insurance/texas/houston,Texas,TX,texas,Houston,houston,Home Insurance in Houston TX (2024),Houston home insurance with flood protection,Houston homeowners need flood insurance. Average $2100/year.,Home Insurance Houston TX | Flood Coverage (2024),Find home insurance in Houston Texas. Flood coverage essential. Average $2100/year. Compare quotes today.,"home insurance houston,homeowners insurance houston,houston home insurance",$2100/year,$295000,$180000,35 years,USAA,14.2%,2024-01-15,Very High,flood,true,false,false,false,true,true,$17500,PUBLISHED,true,true
home-insurance/texas/dallas,Texas,TX,texas,Dallas,dallas,Home Insurance in Dallas TX (2024),Dallas home insurance with hail protection,Dallas homeowners face hail storm risks. Average $1750/year.,Home Insurance Dallas TX | Compare Dallas Rates,Find home insurance in Dallas Texas. Hail coverage important. Average $1750/year. Compare quotes today.,"home insurance dallas,homeowners insurance dallas,dallas home insurance",$1750/year,$340000,$205000,42 years,State Farm,16.8%,2024-01-15,High,hail,false,false,false,false,true,false,$13500,PUBLISHED,true,true
home-insurance/new-york,New York,NY,new-york,,,Home Insurance in New York (2024 Guide),Home insurance for New York properties,New York has moderate home insurance rates. Average $1100/year.,Home Insurance New York | Compare Homeowners Rates (2024),Find home insurance in New York. Average $1100/year. Compare quotes from top insurers today.,"home insurance new york,homeowners insurance ny,new york home insurance",$1100/year,$680000,$400000,65 years,Allstate,12.5%,2024-01-15,Low,weather,false,false,false,false,false,true,$12000,PUBLISHED,true,true
home-insurance/new-york/nyc,New York,NY,new-york,New York City,new-york-city,Home Insurance in New York City (2024),NYC home and condo insurance,New York City has higher rates due to property values. Average $1400/year.,Home Insurance New York City | Compare NYC Rates,Find home insurance in NYC. Co-op and condo coverage available. Average $1400/year. Compare quotes.,"home insurance nyc,homeowners insurance new york city,nyc home insurance",$1400/year,$890000,$520000,85 years,Allstate,12.5%,2024-01-15,Low,theft,false,false,false,false,false,true,$15500,PUBLISHED,true,true
home-insurance/illinois,Illinois,IL,illinois,Chicago,chicago,Home Insurance in Chicago IL (2024),Chicago home insurance with weather protection,Chicago homeowners face winter weather risks. Average $1050/year.,Home Insurance Chicago IL | Compare Chicago Rates,Find home insurance in Chicago Illinois. Weather coverage important. Average $1050/year. Compare quotes today.,"home insurance chicago,homeowners insurance chicago,chicago home insurance",$1050/year,$310000,$185000,55 years,State Farm,17.2%,2024-01-15,Moderate,weather,false,false,false,false,true,false,$11000,PUBLISHED,true,true
home-insurance/pennsylvania,Pennsylvania,PA,pennsylvania,Philadelphia,philadelphia,Home Insurance in Philadelphia PA (2024),Philadelphia home insurance,Philadelphia has moderate home insurance rates. Average $980/year.,Home Insurance Philadelphia PA | Compare Philly Rates,Find home insurance in Philadelphia Pennsylvania. Average $980/year. Compare quotes from top insurers.,"home insurance philadelphia,homeowners insurance philadelphia,philadelphia home insurance",$980/year,$285000,$170000,72 years,Erie Insurance,15.5%,2024-01-15,Moderate,weather,false,false,false,false,false,false,$9500,PUBLISHED,true,true
