slug,state_name,state_code,state_slug,city_name,city_slug,avg_premium,avg_coverage,top_insurer,avg_term_length,title,subtitle,excerpt,metaTitle,metaDescription,metaKeywords,status,isPublished,showAds
life-insurance/california,California,CA,california,,,$30/month,$250000,Northwestern Mutual,20 years,Life Insurance in California (2024 Guide),Protect your family with life insurance in CA,California residents pay an average of $30/month for $250K coverage. Compare term and whole life policies.,Life Insurance California | Compare Life Insurance Rates (2024),Find affordable life insurance in California. Average $30/month for $250K coverage. Compare term and whole life policies today.,"life insurance california,california life insurance,term life ca,whole life california",PUBLISHED,true,true
life-insurance/california/los-angeles,California,CA,california,Los Angeles,los-angeles,$32/month,$275000,Northwestern Mutual,20 years,Life Insurance in Los Angeles CA (2024),LA life insurance options,Los Angeles rates slightly higher. Average $32/month.,Life Insurance Los Angeles CA | Compare LA Rates,Find life insurance in Los Angeles. Average $32/month for $275K coverage. Compare term and whole life policies.,"life insurance los angeles,LA life insurance,los angeles term life",PUBLISHED,true,true
life-insurance/new-york,New York,NY,new-york,,,$35/month,$300000,New York Life,20 years,Life Insurance in New York (2024 Guide),Life insurance for New York families,New York has strong consumer protections. Average $35/month for $300K coverage.,Life Insurance New York | Compare Life Insurance Rates (2024),Find affordable life insurance in New York. Average $35/month for $300K coverage. Compare term and whole life policies.,"life insurance new york,new york life insurance,term life ny,whole life new york",PUBLISHED,true,true
life-insurance/new-york/nyc,New York,NY,new-york,New York City,new-york-city,$38/month,$325000,New York Life,20 years,Life Insurance in New York City (2024),NYC life insurance coverage,NYC has higher coverage needs. Average $38/month.,Life Insurance New York City | Compare NYC Rates,Find life insurance in NYC. Average $38/month for $325K coverage. Compare policy options today.,"life insurance nyc,nyc life insurance,new york city life insurance",PUBLISHED,true,true
life-insurance/texas,Texas,TX,texas,,,$28/month,$225000,State Farm,20 years,Life Insurance in Texas (2024 Guide),Protect your Texas family,Texas has competitive life insurance rates. Average $28/month for $225K coverage.,Life Insurance Texas | Compare Life Insurance Rates (2024),Find affordable life insurance in Texas. Average $28/month for $225K coverage. Compare term and whole life policies.,"life insurance texas,texas life insurance,term life tx,whole life texas",PUBLISHED,true,true
life-insurance/texas/houston,Texas,TX,texas,Houston,houston,$29/month,$235000,State Farm,20 years,Life Insurance in Houston TX (2024),Houston life insurance options,Houston rates are competitive. Average $29/month.,Life Insurance Houston TX | Compare Houston Rates,Find life insurance in Houston. Average $29/month for $235K coverage. Compare policy options today.,"life insurance houston,houston life insurance,texas term life",PUBLISHED,true,true
life-insurance/florida,Florida,FL,florida,,,$32/month,$250000,Prudential,20 years,Life Insurance in Florida (2024 Guide),Life insurance for Florida families,Florida has retiree-friendly policies. Average $32/month for $250K coverage.,Life Insurance Florida | Compare Life Insurance Rates (2024),Find affordable life insurance in Florida. Average $32/month for $250K coverage. Compare term and whole life policies.,"life insurance florida,florida life insurance,term life fl,whole life florida",PUBLISHED,true,true
life-insurance/florida/miami,Florida,FL,florida,Miami,miami,$34/month,$260000,Prudential,20 years,Life Insurance in Miami FL (2024),Miami life insurance coverage,Miami has diverse policy options. Average $34/month.,Life Insurance Miami FL | Compare Miami Rates,Find life insurance in Miami. Average $34/month for $260K coverage. Compare term and whole life policies.,"life insurance miami,miami life insurance,florida term life",PUBLISHED,true,true
life-insurance/illinois,Illinois,IL,illinois,Chicago,chicago,$29/month,$240000,Northwestern Mutual,20 years,Life Insurance in Chicago IL (2024),Chicago life insurance options,Chicago has competitive rates. Average $29/month for $240K.,Life Insurance Chicago IL | Compare Chicago Rates,Find life insurance in Chicago. Average $29/month for $240K coverage. Compare policy options today.,"life insurance chicago,chicago life insurance,illinois term life",PUBLISHED,true,true
life-insurance/pennsylvania,Pennsylvania,PA,pennsylvania,Philadelphia,philadelphia,$27/month,$225000,Penn Mutual,20 years,Life Insurance in Philadelphia PA (2024),Philadelphia life insurance,Philadelphia has strong mutual insurers. Average $27/month.,Life Insurance Philadelphia PA | Compare Philly Rates,Find life insurance in Philadelphia. Average $27/month for $225K coverage. Compare policies today.,"life insurance philadelphia,philadelphia life insurance,penn mutual",PUBLISHED,true,true
life-insurance/ohio,Ohio,OH,ohio,Columbus,columbus,$26/month,$220000,Nationwide,20 years,Life Insurance in Columbus OH (2024),Columbus life insurance options,Columbus has affordable rates. Average $26/month for $220K.,Life Insurance Columbus OH | Compare Columbus Rates,Find life insurance in Columbus. Average $26/month for $220K coverage. Compare policy options today.,"life insurance columbus,columbus life insurance,ohio term life",PUBLISHED,true,true
