country_code,state_slug,name,slug
us,alabama,Abanda CDP,abanda-cdp
us,alabama,Abbeville city,abbeville-city
us,alabama,Adamsville city,adamsville-city
us,alabama,Addison town,addison-town
us,alabama,Akron town,akron-town
us,alabama,Alabaster city,alabaster-city
us,alabama,Albertville city,albertville-city
us,alabama,Alexander City city,alexander-city-city
us,alabama,Alexandria CDP,alexandria-cdp
us,alabama,Aliceville city,aliceville-city
us,alabama,Allgood town,allgood-town
us,alabama,Altoona town,altoona-town
us,alabama,Andalusia city,andalusia-city
us,alabama,Anderson town,anderson-town
us,alabama,Anniston city,anniston-city
us,alabama,Arab city,arab-city
us,alabama,Ardmore town,ardmore-town
us,alabama,Argo city,argo-city
us,alabama,Ariton town,ariton-town
us,alabama,Arley town,arley-town
us,alabama,Ashford city,ashford-city
us,alabama,Ashland town,ashland-town
us,alabama,Ashville city,ashville-city
us,alabama,Athens city,athens-city
us,alabama,Atmore city,atmore-city
us,alabama,Attalla city,attalla-city
us,alabama,Auburn city,auburn-city
us,alabama,Autaugaville town,autaugaville-town
us,alabama,Avon town,avon-town
us,alabama,Axis CDP,axis-cdp
us,alabama,Babbie town,babbie-town
us,alabama,Baileyton town,baileyton-town
us,alabama,Bakerhill town,bakerhill-town
us,alabama,Ballplay CDP,ballplay-cdp
us,alabama,Banks town,banks-town
us,alabama,Bay Minette city,bay-minette-city
us,alabama,Bayou La Batre city,bayou-la-batre-city
us,alabama,Bear Creek town,bear-creek-town
us,alabama,Beatrice town,beatrice-town
us,alabama,Beaverton town,beaverton-town
us,alabama,Belgreen CDP,belgreen-cdp
us,alabama,Belk town,belk-town
us,alabama,Bellamy CDP,bellamy-cdp
us,alabama,Belle Fontaine CDP,belle-fontaine-cdp
us,alabama,Benton town,benton-town
us,alabama,Berlin town,berlin-town
us,alabama,Berry town,berry-town
us,alabama,Bessemer city,bessemer-city
us,alabama,Billingsley town,billingsley-town
us,alabama,Birmingham city,birmingham-city
us,alabama,Black town,black-town
us,alabama,Blountsville town,blountsville-town
us,alabama,Blue Ridge CDP,blue-ridge-cdp
us,alabama,Blue Springs town,blue-springs-town
us,alabama,Boaz city,boaz-city
us,alabama,Boligee town,boligee-town
us,alabama,Bon Air town,bon-air-town
us,alabama,Bon Secour CDP,bon-secour-cdp
us,alabama,Boykin CDP,boykin-cdp
us,alabama,Brantley town,brantley-town
us,alabama,Brantleyville CDP,brantleyville-cdp
us,alabama,Brent city,brent-city
us,alabama,Brewton city,brewton-city
