country_code,name,slug,code
us,Alabama,alabama,AL
us,Alaska,alaska,AK
us,Arizona,arizona,AZ
us,Arkansas,arkansas,AR
us,California,california,CA
us,Colorado,colorado,CO
us,Connecticut,connecticut,CT
us,Delaware,delaware,DE
us,Florida,florida,FL
us,Georgia,georgia,GA
us,Hawaii,hawaii,HI
us,Idaho,idaho,ID
us,Illinois,illinois,IL
us,Indiana,indiana,IN
us,Iowa,iowa,IA
us,Kansas,kansas,KS
us,Kentucky,kentucky,KY
us,Louisiana,louisiana,LA
us,Maine,maine,ME
us,Maryland,maryland,MD
us,Massachusetts,massachusetts,MA
us,Michigan,michigan,MI
us,Minnesota,minnesota,MN
us,Mississippi,mississippi,MS
us,Missouri,missouri,MO
us,Montana,montana,MT
us,Nebraska,nebraska,NE
us,Nevada,nevada,NV
us,New Hampshire,new-hampshire,NH
us,New Jersey,new-jersey,NJ
us,New Mexico,new-mexico,NM
us,New York,new-york,NY
us,North Carolina,north-carolina,NC
us,North Dakota,north-dakota,ND
us,Ohio,ohio,OH
us,Oklahoma,oklahoma,OK
us,Oregon,oregon,OR
us,Pennsylvania,pennsylvania,PA
us,Rhode Island,rhode-island,RI
us,South Carolina,south-carolina,SC
us,South Dakota,south-dakota,SD
us,Tennessee,tennessee,TN
us,Texas,texas,TX
us,Utah,utah,UT
us,Vermont,vermont,VT
us,Virginia,virginia,VA
us,Washington,washington,WA
us,West Virginia,west-virginia,WV
us,Wisconsin,wisconsin,WI
us,Wyoming,wyoming,WY
us,District of Columbia,district-of-columbia,DC
